name
Акционерное общество "Федерация производственных предприятий"
Общество с ограниченной ответственностью "Инновационные технологии в строительстве"
Некоммерческая организация "Фонд поддержки молодых ученых"
Автономная некоммерческая организация "Центр правовой помощи населению"
Муниципальное автономное учреждение "Городская больница №1"
Государственное бюджетное учреждение "Школа-интернат для детей-сирот и детей, оставшихся без попечения родителей"
Общественная организация "Союз ветеранов Великой Отечественной войны"
Региональная общественная организация "Ассоциация молодых предпринимателей"
Закрытое акционерное общество "Финансовая группа"
Товарищество на вере "Строительная компания"
Joint Stock Company "Federation of Manufacturing Enterprises"
Limited Liability Company "Innovative Technologies in Construction"
Non-Profit Organization "Foundation for the Support of Young Scientists"
Autonomous Non-Profit Organization "Center for Legal Aid to the Population"
Municipal Autonomous Institution "City Hospital No. 1"
State Budgetary Institution "Boarding School for Orphans and Children Left Without Parental Care"
Public Organization "Union of Veterans of the Great Patriotic War"
Regional Public Organization "Association of Young Entrepreneurs"
Closed Joint Stock Company "Financial Group"
Limited Partnership "Construction Company"
Общество с ограниченной ответственностью "Инновационные технологии в строительстве" (ООО "ИТвС")
Автономная некоммерческая организация "Центр правовой помощи населению" (АНО "ЦППН")
Муниципальное автономное учреждение "Городская больница №1" (МАУ "ГБ №1")
Региональная общественная организация "Ассоциация молодых предпринимателей" (РОО "АМП")
Закрытое акционерное общество "Финансовая группа" (ЗАО "ФГ")
Товарищество на вере "Строительная компания" (ТНВ "СК")
Joint Stock Company "Federation of Manufacturing Enterprises" (JSC "FME")
Limited Liability Company "Innovative Technologies in Construction" (LLC "ITC")
Non-Profit Organization "Foundation for the Support of Young Scientists" (NPO "FSSYS")
Autonomous Non-Profit Organization "Center for Legal Aid to the Population" (ANPO "CLAP")
Общество с ограниченной ответственностью "Инновационные технологии в строительстве-2023" (ООО "ИТвС-2023")
Автономная некоммерческая организация "Центр правовой помощи населению-45" (АНО "ЦППН-45")
Муниципальное автономное учреждение "Городская больница №1 им. А.П. Чехова" (МАУ "ГБ №1 им. А.П. Чехова")
Региональная общественная организация "Ассоциация молодых предпринимателей-100" (РОО "АМП-100")
Закрытое акционерное общество "Финансовая группа-Инвест" (ЗАО "ФГ-Инвест")
Товарищество на вере "Строительная компания-Люкс" (ТНВ "СК-Люкс")
Joint Stock Company "Federation of Manufacturing Enterprises-10" (JSC "FME-10")
Limited Liability Company "Innovative Technologies in Construction-5" (LLC "ITC-5")
Non-Profit Organization "Foundation for the Support of Young Scientists-2020" (NPO "FSSYS-2020")
Autonomous Non-Profit Organization "Center for Legal Aid to the Population-7" (ANPO "CLAP-7")
