name;phone_number;email;address
Служба поддержки клиентов;+79001234567;support@example.com;г. Москва, ул. Ленина, д. 1
Центр технической поддержки;+79012345678;support@example.com;г. СанктПетербург, ул. Садовая, д. 2
Горячая линия помощи;+79023456789;hotline@example.com;г. Новосибирск, ул. Красный проспект, д. 3
Центр обслуживания клиентов;+79034567890;support@example.com;г. Екатеринбург, ул. Малышева, д. 4
Сервис поддержки пользователей;+79045678901;support@example.com;г. Нижний Новгород, ул. Большая Покровская, д. 5
Отдел по работе с клиентами;+79056789012;customercare@example.com;г. Казань, ул. Баумана, д. 6
Поддержка разработчиков;+79067890123;devsupport@example.com;г. РостовнаДону, ул. Пушкинская, д. 7
Команда поддержки клиентов;+79078901234;support@example.com;г. Самара, ул. Куйбышева, д. 8
Круглосуточная поддержка;+79089012345;247support@example.com;г. Челябинск, ул. Кирова, д. 9
Центр решения проблем;+79090123456;support@example.com;г. Омск, ул. Ленина, д. 10
