name;phone_number;email;address
Бумажная Фабрика Аврора;+74951234567;info@aurorapaper.ru;г. Москва, ул. Ленина, д. 10
Картонный Завод Прогресс;+74992345678;sales@progresscardboard.com;г. Санкт-Петербург, ул. Пушкина, д. 25
Бумажный Комбинат Сибирь;+73832901234;office@siberiapaper.ru;г. Новосибирск, ул. Карла Маркса, д. 50
Упаковка из Картона;+74822567890;support@cartonpack.ru;г. Тверь, ул. Советская, д. 15
Бумажно-Картонная Фабрика;+74912678901;sales@papercardboard.ru;г. Рязань, ул. Московская, д. 35
Картонные Коробки;+74722789012;info@cardboardboxes.ru;г. Курск, ул. Ленина, д. 40
Уральский Завод по Производству Бумаги;+73432890123;info@uralpaper.ru;г. Екатеринбург, ул. Мира, д. 20
Производство Картонной Упаковки;+74152901234;office@cartonpack.ru;г. Вологда, ул. Октябрьская, д. 25
Бумажная Компания;+74232911235;sales@papercompany.ru;г. Владивосток, ул. Светланская, д. 55
Фабрика по Изготовлению Бумажных Изделий;+74732921236;info@paperproducts.ru;г. Воронеж, ул. Плехановская, д. 45
